OBJECTID,FIPS,STATE_NAME,HOSPITAL_NAME,HOSPITAL_TYPE,HQ_ADDRESS,HQ_CITY,HQ_ZIP_CODE,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,Y,X
1,4013.0,Arizona,Phoenix VA Health Care System (AKA Carl T Hayden VA Medical Center),VA Hospital,650 E Indian School Rd,Phoenix,85012,62.0,62.0,0,0,,,0,0.0,33.5,-112.07
2,4019.0,Arizona,Southern Arizona VA Health Care System,VA Hospital,3601 S 6th Ave,Tucson,85723,,,2,2,,,0,2.0,32.18,-110.97
3,6019.0,California,VA Central California Health Care System,VA Hospital,2615 E Clinton Ave,Fresno,93703,,,2,2,,,0,2.0,36.77,-119.78
4,9009.0,Connecticut,VA Connecticut Healthcare System - West Haven Campus (AKA West Haven VA Medical Center),VA Hospital,950 Campbell Ave,West Haven,6516,216.0,216.0,1,1,,,0,2.0,41.28,-72.96
5,10003.0,Delaware,Wilmington VA Medical Center,VA Hospital,1601 Kirkwood Hwy,Wilmington,19805,,,0,0,,,0,1.0,39.74,-75.61
6,11001.0,District of Columbia,Washington DC VA Medical Center,VA Hospital,50 Irving St Nw,Washington,20422,,,1,1,,,0,2.0,38.93,-77.01
7,12001.0,Florida,North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center,VA Hospital,1601 Sw Archer Rd,Gainesville,32608,432.0,278.0,2,2,,,154,2.0,29.64,-82.35
8,16001.0,Idaho,Boise VA Medical Center,VA Hospital,500 W Fort St,Boise,83702,,,1,1,,,0,1.0,43.62,-116.19
9,22017.0,Louisiana,Overton Brooks VA Medical Center,VA Hospital,510 E Stoner Ave,Shreveport,71101,,,1,1,,,0,2.0,32.5,-93.72
10,28121.0,Mississippi,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Short Term Acute Care Hospital,1030 River Oaks Dr,Flowood,39232,160.0,160.0,10,10,20.0,0.29656667,0,2.0,32.33,-90.11
11,29019.0,Missouri,Harry S Truman Memorial Veterans Hospital,VA Hospital,800 Hospital Dr,Columbia,65201,89.0,89.0,2,2,,,0,2.0,38.94,-92.33
12,35001.0,New Mexico,New Mexico VA Health Care System - Raymond G Murphy VA Medical Center,VA Hospital,1501 San Pedro Dr Se,Albuquerque,87108,163.0,163.0,1,1,,,0,1.0,35.06,-106.58
13,36001.0,New York,Albany Stratton VA Medical Center,VA Hospital,113 Holland Ave,Albany,12208,67.0,67.0,2,2,,,0,2.0,42.65,-73.77
